iter	Passed	Remaining
0	22	229131
1	39	198202
2	81	270862
3	115	287849
4	206	412695
5	241	402363
6	299	427003
7	394	492843
8	490	544835
9	593	593170
10	686	623776
11	783	651734
12	875	672244
13	965	688565
14	1009	671748
15	1103	688480
16	1195	701851
17	1279	709299
18	1370	719778
19	1447	722390
20	1535	729799
21	1587	719950
22	1678	727998
23	1774	737611
24	1869	745791
25	1966	754316
26	2058	760388
27	2148	765185
28	2238	769529
29	2337	776719
30	2432	782403
31	2515	783543
32	2614	789800
33	2706	793334
34	2793	795413
35	2892	800682
36	2989	805009
37	3022	792376
38	3116	795924
39	3172	790052
40	3265	793091
41	3355	795545
42	3443	797280
43	3532	799338
44	3621	801070
45	3656	791275
46	3747	793623
47	3839	795986
48	3897	791488
49	4000	796017
50	4098	799526
51	4125	789192
52	4217	791518
53	4302	792389
54	4394	794667
55	4489	797210
56	4578	798678
57	4623	792500
58	4722	795725
59	4831	800344
60	4877	794706
61	4975	797502
62	5071	799902
63	5169	802585
64	5265	804792
65	5359	806632
66	5452	808395
67	5496	802819
68	5585	803887
69	5641	800349
70	5662	791844
71	5749	792836
72	5787	787035
73	5881	788882
74	5975	790708
75	6007	784500
76	6089	784719
77	6203	789126
78	6294	790510
79	6390	792445
80	6417	785877
81	6508	787258
82	6526	779774
83	6570	775663
84	6612	771340
85	6700	772471
86	6798	774673
87	6888	775898
88	6982	777562
89	7082	779807
90	7143	777864
91	7233	779008
92	7291	776755
93	7353	774956
94	7446	776370
95	7480	771778
96	7581	774024
97	7680	776053
98	7772	777347
99	7874	779527
100	7964	780605
101	8054	781633
102	8150	783116
103	8191	779462
104	8245	776996
105	8338	778272
106	8438	780226
107	8528	781127
108	8607	781107
109	8703	782490
110	8738	778531
111	8828	779425
112	8923	780723
113	9015	781842
114	9126	784514
115	9214	785115
116	9307	786173
117	9398	787052
118	9487	787750
119	9576	788502
120	9676	790039
121	9772	791287
122	9871	792711
123	9966	793763
124	10057	794516
125	10147	795204
126	10238	795940
127	10332	796877
128	10351	792114
129	10441	792743
130	10534	793622
131	10627	794507
132	10720	795368
133	10820	796656
134	10925	798375
135	11013	798833
136	11066	796714
137	11167	798044
138	11267	799350
139	11362	800272
140	11454	800888
141	11543	801369
142	11631	801738
143	11724	802496
144	11821	803458
145	11920	804554
146	12013	805229
147	12119	806766
148	12212	807411
149	12301	807808
150	12392	808332
151	12488	809095
152	12512	805280
153	12603	805822
154	12640	802899
155	12735	803638
156	12828	804294
157	12924	805086
158	13002	804734
159	13097	805479
160	13185	805783
161	13284	806748
162	13379	807474
163	13469	807867
164	13576	809236
165	13607	806115
166	13707	807127
167	13800	807648
168	13827	804344
169	13913	804517
170	14014	805541
171	14108	806144
172	14200	806612
173	14306	807921
174	14405	808738
175	14433	805651
176	14528	806278
177	14624	807001
178	14661	804421
179	14757	805108
180	14863	806329
181	14963	807226
182	15063	808060
183	15156	808556
184	15258	809510
185	15337	809257
186	15432	809842
187	15525	810283
188	15629	811352
189	15725	811954
190	15822	812604
191	15863	810352
192	15958	810894
193	16051	811322
194	16145	811839
195	16251	812895
196	16306	811443
197	16396	811701
198	16499	812642
199	16596	813234
200	16691	813751
201	16795	814669
202	16819	811728
203	16912	812119
204	17008	812658
205	17105	813265
206	17213	814359
207	17312	815039
208	17405	815379
209	17467	814295
210	17495	811682
211	17601	812679
212	17703	813448
213	17736	811093
214	17840	811927
215	17908	811196
216	18013	812115
217	18106	812451
218	18204	813068
219	18294	813277
220	18339	811480
221	18429	811719
222	18462	809453
223	18521	808334
224	18617	808825
225	18711	809226
226	18741	806880
227	18837	807347
228	18934	807893
229	18963	805516
