game_date,release_speed,batter,pitcher,events,description,zone,stand,p_throws,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,ax,ay,az,launch_speed,launch_angle,release_spin_rate,pitch_name,pitcher_name
2018-05-03,85.4,519058,518445,sac_fly,hit_into_play_score,13,L,L,fly_ball,1,2,-0.6303,0.2614,-0.92,2.032,-6.1015,22.5146,-29.0091,90.4,26.0,2305.0,Cutter,채드벨
2018-05-03,91.7,519058,518445,,foul,12,L,L,,1,2,0.5348,1.3339,0.4845,3.5506,6.7067,29.5849,-15.5999,72.7,14.0,2265.0,4-Seam Fastball,채드벨
2018-05-03,86.1,519058,518445,,foul,13,L,L,,1,2,-0.613,0.379,-1.4736,1.6516,-5.7169,25.0563,-27.4184,,,2379.0,Cutter,채드벨
2018-05-03,85.3,519058,518445,,ball,11,L,L,,0,2,-0.3473,0.135,-1.5007,2.5166,-2.7315,24.9668,-30.5457,,,2284.0,Cutter,채드벨
2018-05-03,83.3,519058,518445,,swinging_strike,12,L,L,,0,1,-0.3449,0.0342,0.3519,3.5876,-3.3883,24.6765,-32.2025,,,2332.0,Slider,채드벨
2018-05-03,85.3,519058,518445,,swinging_strike,11,L,L,,0,0,-0.5753,0.3506,-0.1035,3.3897,-5.6763,26.5849,-28.7074,,,2339.0,Cutter,채드벨
2018-05-03,91.1,624585,518445,walk,ball,13,R,L,,3,0,0.3591,1.5338,-1.1333,2.1975,5.3671,33.3311,-12.7764,,,2247.0,4-Seam Fastball,채드벨
2018-05-03,83.6,624585,518445,,ball,14,R,L,,2,0,-0.4314,0.2775,1.3292,2.4408,-4.6769,25.3147,-29.2249,,,2216.0,Slider,채드벨
2018-05-03,91.2,624585,518445,,ball,13,R,L,,1,0,0.4055,1.5482,-1.066,2.5044,5.8375,32.4104,-12.875,,,2158.0,4-Seam Fastball,채드벨
2018-05-03,91.2,624585,518445,,ball,11,R,L,,0,0,0.2572,1.5843,-1.0723,2.8835,4.1467,33.5429,-12.2574,,,2202.0,4-Seam Fastball,채드벨
