pitcher_name,year,ERA,WAR,TBF,H,HR,BB,HBP,SO,WHIP,BABIP,FIP,LD%,GB%,FB%,IFFB%,SwStr%,Swing%
오간도,2011.0,3.51,3.3,693.0,149.0,16.0,43.0,7.0,126.0,1.14,0.265,3.65,0.237,0.364,0.674,0.147,0.09,0.475
험버,2011.0,3.75,3.2,676.0,151.0,14.0,41.0,6.0,116.0,1.18,0.275,3.58,0.168,0.47100000000000003,0.45799999999999996,0.094,0.092,0.46299999999999997
루카스,2012.0,3.76,2.8,827.0,185.0,13.0,78.0,1.0,140.0,1.36,0.289,3.75,0.203,0.5720000000000001,0.7070000000000001,0.08199999999999999,0.062,0.424
다이아몬드,2012.0,3.54,2.2,714.0,184.0,17.0,31.0,4.0,90.0,1.24,0.292,3.94,0.21,0.534,0.597,0.04,0.068,0.467
듀브론트,2013.0,4.32,2.2,705.0,161.0,13.0,71.0,5.0,139.0,1.43,0.31,3.78,0.19899999999999998,0.456,0.633,0.127,0.077,0.434
스와잭,2017.0,2.33,2.2,303.0,58.0,6.0,22.0,2.0,91.0,1.03,0.28600000000000003,2.74,0.155,0.439,0.485,0.145,0.142,0.5
듀브론트,2012.0,4.86,1.3,709.0,162.0,24.0,71.0,5.0,167.0,1.45,0.312,4.37,0.23399999999999999,0.4370000000000001,0.635,0.086,0.096,0.442
탈보트,2010.0,4.41,1.2,696.0,169.0,13.0,69.0,8.0,88.0,1.49,0.301,4.48,0.16899999999999998,0.478,0.495,0.07,0.06,0.428
비야누에바,2011.0,4.04,1.2,454.0,103.0,11.0,32.0,4.0,68.0,1.26,0.271,4.1,0.21899999999999997,0.35600000000000004,0.462,0.151,0.078,0.433
비야누에바,2014.0,4.64,1.2,343.0,89.0,6.0,19.0,3.0,72.0,1.39,0.342,3.13,0.20199999999999999,0.413,0.474,0.161,0.113,0.486
로저스,2010.0,6.13,1.2,333.0,94.0,5.0,26.0,5.0,66.0,1.67,0.385,3.44,0.21100000000000002,0.522,0.635,0.081,0.09699999999999999,0.452
볼스테드,2010.0,4.58,1.1,758.0,187.0,17.0,60.0,8.0,102.0,1.41,0.298,4.34,0.182,0.479,0.597,0.046,0.057999999999999996,0.43
비야누에바,2013.0,4.06,1.0,524.0,117.0,14.0,40.0,3.0,103.0,1.22,0.28300000000000003,3.86,0.214,0.4,0.436,0.049,0.10300000000000001,0.449
