pitcher_name,year,ERA,WAR,TBF,H,HR,BB,HBP,SO,WHIP,BABIP,FIP,LD%,GB%,FB%,IFFB%,SwStr%,Swing%
버틀러,2017.0,3.95,0.6,237.0,50.0,4.0,28.0,2.0,30.0,1.43,0.266,4.66,0.22399999999999998,0.44299999999999995,0.6609999999999999,0.138,0.07200000000000001,0.465
터너,2014.0,6.13,0.5,501.0,148.0,12.0,33.0,1.0,71.0,1.6,0.354,4.16,0.20800000000000002,0.491,0.636,0.052000000000000005,0.08,0.461
터너,2013.0,3.74,0.3,514.0,116.0,11.0,54.0,4.0,77.0,1.44,0.285,4.43,0.195,0.457,0.675,0.047,0.083,0.45399999999999996
맥과이어,2017.0,2.63,0.3,56.0,10.0,1.0,2.0,1.0,11.0,0.88,0.22,3.16,0.11900000000000001,0.28600000000000003,0.638,0.08,0.095,0.44799999999999995
터너,2012.0,4.42,0.2,231.0,50.0,9.0,16.0,0.0,36.0,1.2,0.241,4.79,0.192,0.452,0.5660000000000001,0.079,0.096,0.45399999999999996
서폴드,2016.0,7.45,0.2,49.0,17.0,0.0,3.0,1.0,10.0,2.07,0.486,2.32,0.257,0.5429999999999999,0.556,0.0,0.111,0.49700000000000005
켈리,2016.0,5.82,0.2,102.0,30.0,1.0,7.0,2.0,7.0,1.71,0.341,4.35,0.155,0.452,0.68,0.212,0.067,0.512
루친스키,2018.0,4.33,0.1,154.0,34.0,2.0,13.0,4.0,27.0,1.33,0.296,3.81,0.185,0.48100000000000004,0.48200000000000004,0.055999999999999994,0.11900000000000001,0.516
켈리,2018.0,3.04,0.1,104.0,28.0,3.0,5.0,1.0,16.0,1.39,0.316,4.22,0.183,0.488,0.528,0.111,0.099,0.509
루친스키,2014.0,4.91,0.1,34.0,9.0,0.0,2.0,1.0,8.0,1.5,0.391,2.18,0.217,0.435,0.484,0.25,0.095,0.413
버틀러,2016.0,7.17,0.0,293.0,87.0,13.0,21.0,3.0,47.0,1.69,0.354,5.44,0.245,0.45799999999999996,0.607,0.078,0.076,0.461
톰슨,2018.0,4.96,0.0,76.0,14.0,1.0,11.0,0.0,14.0,1.53,0.26,4.26,0.191,0.447,0.35,0.0,0.091,0.44799999999999995
쿠에바스,2016.0,3.6,0.0,24.0,5.0,0.0,6.0,0.0,3.0,2.2,0.333,5.55,0.35700000000000004,0.214,0.5820000000000001,0.33299999999999996,0.08199999999999999,0.38799999999999996
